Unique_ID,YEAR,NUMBER_SCRIPTS,LAUNCH_YEAR,PROPNAME,Type_ID,Manuf_ID,DOSAGE_ID,PAYER,UNIQUE_MEMBERS,THER_CLASS
1,2016,417,2011,MULTIVITAMIN WITH FLUORIDE,1,1,1,1,187,1
2,2016,344,2011,MULTIVITAMIN WITH FLUORIDE,1,1,1,1,174,1
3,2016,177,2011,MULTIVITAMIN WITH FLUORIDE,1,1,1,1,69,1
4,2016,338,2011,MULTIVITAMIN WITH FLUORIDE,1,1,1,2,101,1
5,2016,476,2011,MULTIVITAMIN WITH FLUORIDE,1,1,1,2,143,1
6,2016,198,2011,MULTIVITAMIN WITH FLUORIDE,1,1,1,2,54,1
7,2016,41,2011,PNV PRENATAL VITAMIN,2,2,1,1,22,1
8,2016,129,2011,PNV PRENATAL VITAMIN,2,2,1,2,90,1
9,2016,508,2014,PREPLUS,2,3,2,1,344,1
10,2016,156,2014,PREPLUS,2,3,2,3,78,1
11,2016,939,2014,PREPLUS,2,3,2,2,667,1
12,2016,47,2013,PRENATAL 19,2,2,3,1,29,1
13,2016,245,2013,PRENATAL 19,2,2,3,2,133,1
14,2016,62,2009,SE-NATAL 19,2,2,2,1,41,1
15,2016,226,2009,SE-NATAL 19,2,2,2,2,107,1
16,2016,1423,2014,PRENATAL PLUS,2,4,2,1,766,1
17,2016,354,2014,PRENATAL PLUS,2,4,2,3,133,1
18,2016,6724,2014,PRENATAL PLUS,2,4,2,2,2921,1
19,2016,20,2005,SELECT OB,2,2,1,2,14,1
20,2016,25,2009,SELECT-OB PLUS DHA,1,2,4,1,18,1
21,2016,226,2009,SELECT-OB PLUS DHA,1,2,4,2,112,1
22,2016,1395,1999,SF,1,2,5,1,913,2
23,2016,1024,1999,SF,1,2,5,3,513,2
24,2016,1619,1999,SF,1,2,5,2,1045,2
25,2016,4514,1999,SF 5000 PLUS,1,5,6,1,2959,2
26,2016,1922,1999,SF 5000 PLUS,1,5,6,3,1078,2
27,2016,4605,1999,SF 5000 PLUS,1,5,6,2,2770,2
28,2016,110,0,5-METHYLTETRAHYDROFOLATE CALC,2,2,7,1,59,3
29,2016,59,2013,ABACAVIR,1,6,2,1,18,4
30,2016,174,2013,ABACAVIR,1,6,2,3,27,4
31,2016,134,2013,ABACAVIR,1,6,2,2,27,4
32,2016,38,2012,ABACAVIR SULFATE,1,7,8,1,14,4
33,2016,129,2012,ABACAVIR,1,8,8,1,25,4
34,2016,265,2012,ABACAVIR,1,8,8,3,39,4
35,2016,180,2012,ABACAVIR,1,8,8,2,39,4
36,2016,2368,2014,TRIUMEQ,2,2,8,1,428,4
37,2016,1955,2014,TRIUMEQ,2,2,8,3,246,4
38,2016,3809,2014,TRIUMEQ,2,2,8,2,617,4
39,2016,507,2010,EPZICOM,2,9,8,1,105,4
40,2016,42,2016,ABACAVIR AND LAMIVUDINE,2,10,8,1,23,4
41,2016,1005,2010,EPZICOM,2,9,8,3,125,4
42,2016,43,2016,ABACAVIR AND LAMIVUDINE,2,10,8,3,24,4
43,2016,1176,2010,EPZICOM,2,9,8,2,213,4
44,2016,130,2016,ABACAVIR AND LAMIVUDINE,2,10,8,2,63,4
45,2016,85,2013,"ABACAVIR SULFATE, LAMIVUDINE AND ZIDOVUDINE",2,2,2,1,12,4
46,2016,93,2013,"ABACAVIR SULFATE, LAMIVUDINE AND ZIDOVUDINE",2,2,2,2,16,4
47,2016,24,2016,ABACAVIR AND LAMIVUDINE,1,11,8,1,12,4
48,2016,71,2016,ABACAVIR AND LAMIVUDINE,1,11,8,3,34,4
49,2016,63,2016,ABACAVIR AND LAMIVUDINE,1,11,8,2,34,4
50,2016,2314,2011,ORENCIA,2,2,9,1,367,5
51,2016,582,2011,ORENCIA,2,2,9,3,89,5
52,2016,303,2011,ORENCIA,2,2,9,2,58,5
53,2016,642,2011,ZYTIGA,2,12,2,1,128,6
54,2016,2334,2011,ZYTIGA,2,12,2,3,377,6
55,2016,93,2011,ZYTIGA,2,12,2,2,13,6
56,2016,243,2016,ACAMPROSATE CALCIUM,1,11,10,1,102,7
57,2016,746,2013,ACAMPROSATE CALCIUM,1,13,10,1,366,7
58,2016,161,2016,ACAMPROSATE CALCIUM,1,11,10,3,62,7
59,2016,764,2013,ACAMPROSATE CALCIUM,1,13,10,3,219,7
60,2016,359,2016,ACAMPROSATE CALCIUM,1,11,10,2,158,7
61,2016,1482,2013,ACAMPROSATE CALCIUM,1,13,10,2,526,7
62,2016,244,2014,ACAMPROSATE CALCIUM,1,14,10,1,162,7
63,2016,240,2014,ACAMPROSATE CALCIUM,1,14,10,3,89,7
64,2016,381,2014,ACAMPROSATE CALCIUM,1,14,10,2,213,7
65,2016,50,2008,ACARBOSE,1,15,2,1,30,8
66,2016,25,2008,ACARBOSE,1,15,2,1,13,8
67,2016,29,2008,ACARBOSE,1,15,2,1,13,8
68,2016,25,2011,ACARBOSE,1,16,2,1,14,8
69,2016,37,2008,ACARBOSE,1,17,2,1,14,8
70,2016,23,2008,ACARBOSE,1,18,2,1,11,8
71,2016,25,2011,ACARBOSE,1,19,2,1,11,8
72,2016,87,2015,ACARBOSE,1,20,2,1,34,8
73,2016,82,2015,ACARBOSE,1,20,2,1,29,8
74,2016,24,2015,ACARBOSE,1,20,2,1,15,8
75,2016,87,2008,ACARBOSE,1,15,2,3,36,8
76,2016,60,2008,ACARBOSE,1,15,2,3,25,8
77,2016,32,2008,ACARBOSE,1,15,2,3,15,8
78,2016,25,2011,ACARBOSE,1,16,2,3,13,8
